q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14_u,q14_r,q14_i,q14_rur,q14_m,q14_pnd,q15,q16,q17,q18,q19_a,q19_b,q20,q21
I consent,Female,White,20-29 years,R1000- R4999,2-3 times per month,2-3 times per month,2,100,2,Medium,KwaZulu-Natal,Umkomaas,.,.,.,.,true,.,,5,7,Yes,33.333332,100,No,No
I consent,Female,White,40-49 years,R15 000- R19 999,Everyday,Once per month (or less),20,2000,25,High,KwaZulu-Natal,Durban,true,.,.,.,.,.,,8,30,No,,,No,.
I consent,Male,White,20-29 years,R10 000- R14 999,2-3 times per week,Once per week,12,400,4.5,Medium,KwaZulu-Natal,N/A,.,.,.,.,.,true,,8,7,Yes,50,150,I do not wish to disclose this information,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,6,100,30,Medium,KwaZulu-Natal,Westville,true,.,.,.,.,.,,6,11,Yes,,10,Yes,No
I consent,Female,Coloured,20-29 years,< R1000 (less than R1000),Everyday,Once per week,3,100,5,Medium,KwaZulu-Natal,Durban,.,.,.,.,.,true,,5,5,No,,,No,No
I consent,Female,African,20-29 years,R10 000- R14 999,Everyday,Once per month (or less),3,300,20,Medium,KwaZulu-Natal,Pietermaritzburg,true,.,.,.,.,.,,10,14,Yes,9,60,Yes,No
I consent,Female,White,30-39 years,R5000-R9999,Everyday,Everyday,8,200,2,High,KwaZulu-Natal,Winkelspruit,.,.,.,true,.,.,,7,2,Yes,50,150,Yes,No
I consent,Female,White,40-49 years,R5000-R9999,2-3 times per month,2-3 times per month,1,400,150,Medium,KwaZulu-Natal,Port shepstone area,.,true,.,.,.,.,,1,25,No,,,Yes,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Once per month (or less),3,1000,50,Medium,KwaZulu-Natal,.,.,.,.,.,.,true,,8,22,Yes,11.111111,82.5,I do not wish to disclose this information,No
I consent,Female,White,20-29 years,R5000-R9999,2-3 times per week,Once per week,3,500,1000,Medium,KwaZulu-Natal,Queen's burgh,.,.,true,.,.,.,,8,More than 30 days,Yes,,,No,No
I consent,Male,Indian,20-29 years,R10 000- R14 999,Everyday,2-3 times per week,8,600,4,High,KwaZulu-Natal,Dbn,.,.,.,.,.,true,,8,5,Yes,80,180,I do not wish to disclose this information,No
I consent,Male,White,30-39 years,R20 000- R24 999,Everyday,2-3 times per month,18,1450,20,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,3,14,Yes,35,110,No,No
I consent,Female,White,40-49 years,R30 000 and above,Everyday,Once per week,20,2000,10,High,KwaZulu-Natal,Salt Rock,.,true,.,.,.,.,,2,5,Yes,120,220,Yes,No
I consent,Female,Coloured,< 20 years (younger than 20 years),R1000- R4999,Everyday,Once per week,1,200,6,Medium,KwaZulu-Natal,Durban,true,.,.,.,.,.,,5,5,Yes,25,80,Yes,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per week,8,1125,15,High,KwaZulu-Natal,Kloof,.,true,.,.,.,.,,5,7,Yes,50,90,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,6,1000,30,High,KwaZulu-Natal,Durban,.,true,.,.,.,.,,10,15,Yes,16,150,No,Yes
I consent,Male,African,20-29 years,R1000- R4999,Everyday,2-3 times per week,7,500,500,Low,KwaZulu-Natal,Durban,true,.,.,.,.,.,,5,More than 30 days,Yes,,35,No,No
I consent,Male,Indian,20-29 years,R1000- R4999,Everyday,Once per week,4,700,100,High,KwaZulu-Natal,Durban,.,true,.,.,.,.,,6,10,Yes,,150,Yes,No
I consent,Male,Indian,30-39 years,R15 000- R19 999,Everyday,Once per week,16,750,5,High,KwaZulu-Natal,Durban,.,true,.,.,.,.,,10,7,Yes,62.5,180,No,No
I consent,Female,White,20-29 years,R1000- R4999,2-3 times per week,2-3 times per month,5,500,15,Medium,KwaZulu-Natal,Hillcrest,.,true,.,.,.,.,,8,10,No,,,No,No
I consent,Female,White,20-29 years,R5000-R9999,Everyday,Once per week,4,350,10,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,7,10,No,,,No,No
I consent,Female,African,20-29 years,< R1000 (less than R1000),Everyday,2-3 times per week,6,50,1,High,KwaZulu-Natal,Pinetown,.,true,.,.,.,.,,10,2,Yes,23,250,Yes,No
I consent,Female,White,40-49 years,R1000- R4999,Everyday,2-3 times per week,20,50,20,Low,KwaZulu-Natal,Umhlanga,.,.,.,.,true,.,,10,5,Yes,,7.5,No,No
I consent,Male,I would prefer to not answer,20-29 years,R15 000- R19 999,Everyday,2-3 times per month,10,50,5,Medium,KwaZulu-Natal,Margate,.,.,.,.,true,.,,8,7,No,,,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Once per week,6,250,5,Medium,KwaZulu-Natal,Durban,true,.,.,.,.,.,,6,3,Yes,18.5,110,Yes,Yes
I consent,Male,Indian,20-29 years,R1000- R4999,2-3 times per week,2-3 times per month,4,170,1,High,KwaZulu-Natal,Durban,true,.,.,.,.,.,,10,3,Yes,75,200,No,No
I consent,Male,White,< 20 years (younger than 20 years),R1000- R4999,Everyday,Once per month (or less),2,1000,75,Medium,KwaZulu-Natal,Durban,.,.,.,.,.,true,,2,More than 30 days,No,,,Yes,No
I consent,Male,Indian,< 20 years (younger than 20 years),R30 000 and above,Everyday,Once per week,3,1000,8,High,KwaZulu-Natal,Durban,true,.,.,.,.,.,,8,1,No,,,No,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per week,8,100,5,Medium,KwaZulu-Natal,Umbilo,.,true,.,.,.,.,,10,3,Yes,15,50,Yes,No
I consent,Female,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,13,200,20,Medium,KwaZulu-Natal,Pietermaritzburg,true,.,.,.,.,.,,4,10,No,,,No,No
I consent,Male,Indian,50 years and above,R15 000- R19 999,Everyday,Once per month (or less),1,4000,20,High,KwaZulu-Natal,Durban,.,.,.,.,true,.,,10,More than 30 days,No,,,No,No
I consent,Male,White,20-29 years,R15 000- R19 999,2-3 times per week,2-3 times per month,5,200,5,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,10,21,Yes,,180,Yes,Yes
I consent,Male,Indian,20-29 years,< R1000 (less than R1000),Everyday,2-3 times per week,7,20,2,Medium,KwaZulu-Natal,Durban,true,.,.,.,.,.,,7,1,No,,,Yes,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,2-3 times per month,8,2000,50,High,KwaZulu-Natal,Durban,true,.,.,.,.,.,,10,21,Yes,20,100,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per week,6,300,6,Medium,KwaZulu-Natal,Howick,.,true,.,.,.,.,,8,3,Yes,35,120,No,Yes
I consent,Male,White,30-39 years,R20 000- R24 999,Everyday,Once per week,20,500,300,High,KwaZulu-Natal,Mtunzini,.,.,.,true,.,.,,10,30,No,,,Yes,No
I consent,Male,White,20-29 years,R25 000- R29 999,Everyday,Once per week,8,400,15,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,9,5,Yes,15,100,No,No
I consent,Male,African,20-29 years,R1000- R4999,Everyday,Everyday,4,100,10,Medium,KwaZulu-Natal,"Verulam, Durban",true,.,.,.,.,.,,10,10,No,,,Yes,No
I consent,Female,White,20-29 years,R10 000- R14 999,Everyday,Once per month (or less),10,1500,400,High,KwaZulu-Natal,Richards bay,.,true,.,.,.,.,,10,More than 30 days,Yes,1,65,Yes,No
I consent,Female,White,20-29 years,R5000-R9999,Everyday,I do not wish to disclose this information,4,100,5,Medium,KwaZulu-Natal,.,.,.,.,.,.,true,,7,5,Yes,10,85,No,No
I consent,Male,African,20-29 years,R1000- R4999,Everyday,Everyday,8,20,10,Low,KwaZulu-Natal,Umlazi,.,.,.,true,.,.,,8,5,No,,,No,Yes
I consent,Male,White,20-29 years,R30 000 and above,Once per month (or less),Once per month (or less),15,500,10,Medium,KwaZulu-Natal,Durban,true,.,.,.,.,.,,7,More than 30 days,Yes,30,200,No,No
I consent,Male,I would prefer to not answer,20-29 years,R1000- R4999,Everyday,Once per month (or less),10,3000,33,High,KwaZulu-Natal,Durban,.,.,.,.,.,true,,10,More than 30 days,Yes,50,125,Yes,No
I consent,Male,White,< 20 years (younger than 20 years),R5000-R9999,Once per month (or less),Once per month (or less),3,85,4,High,KwaZulu-Natal,Durban,.,.,.,.,.,true,,4,2,No,,,I do not wish to disclose this information,No
I consent,Male,White,< 20 years (younger than 20 years),R5000-R9999,Everyday,2-3 times per week,5,1500,20,High,KwaZulu-Natal,Durban,.,true,.,.,.,.,,6,.,,10,100,.,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Once per week,7,200,5.8000002,High,KwaZulu-Natal,Durban,.,true,.,.,.,.,,8,6,Yes,11.5,88.333336,Yes,No
I consent,Male,White,50 years and above,R1000- R4999,Everyday,Once per week,20,500,10,High,KwaZulu-Natal,Durban,true,.,.,.,.,.,,2,14,Yes,20,65,Yes,No
I consent,Female,African,20-29 years,R15 000- R19 999,2-3 times per week,Once per month (or less),5,1000,300,High,KwaZulu-Natal,Durban,true,.,.,.,.,.,,2,More than 30 days,No,,,No,No
I consent,Male,White,50 years and above,R30 000 and above,Everyday,Once per month (or less),20,400,40,Medium,KwaZulu-Natal,Durban,.,.,.,.,true,.,,6,More than 30 days,Yes,,62.5,No,No
I consent,Male,African,20-29 years,R5000-R9999,2-3 times per week,Once per week,1,50,5,Medium,KwaZulu-Natal,Durban,true,.,.,.,.,.,,5,5,Yes,,,No,No
I consent,Female,White,20-29 years,R20 000- R24 999,Everyday,Once per week,5,300,5,Medium,KwaZulu-Natal,Ballito,.,true,.,.,.,.,,10,5,No,,,No,No
I consent,Male,Indian,20-29 years,R5000-R9999,2-3 times per week,Once per week,6,100,4,Medium,KwaZulu-Natal,Durban,true,.,.,.,.,.,,2,5,Yes,12,60,Yes,No
I consent,Male,White,20-29 years,< R1000 (less than R1000),Everyday,2-3 times per month,7,300,10,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,8,14,Yes,,120,No,Yes
I consent,Male,White,30-39 years,R5000-R9999,Everyday,Once per month (or less),7,100,5,Medium,KwaZulu-Natal,Port shepstone,.,.,.,true,.,.,,5,1,No,,,Yes,No
I consent,Female,White,40-49 years,R10 000- R14 999,Everyday,Once per week,20,150,25,Medium,KwaZulu-Natal,Sodwana Bay,.,.,.,true,.,.,,10,14,Yes,,35,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per week,2,250,30,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,10,4,Yes,,53.5,No,Yes
I consent,Male,Indian,20-29 years,R5000-R9999,Everyday,Once per week,15,500,4,High,KwaZulu-Natal,Durban,.,.,.,.,.,true,,3,7,Yes,17.5,150,I do not wish to disclose this information,No
I consent,Male,White,< 20 years (younger than 20 years),R1000- R4999,Everyday,2-3 times per week,5,500,20,Medium,KwaZulu-Natal,Hillcrest,.,true,.,.,.,.,,8,7,Yes,10,100,No,No
I consent,Male,African,20-29 years,< R1000 (less than R1000),Everyday,Once per week,4,40,3,Medium,KwaZulu-Natal,Amanzimtoti,.,.,.,.,true,.,,8,5,Yes,9,25,Yes,No
I consent,Female,White,30-39 years,R20 000- R24 999,Everyday,2-3 times per month,14,150,20,Medium,KwaZulu-Natal,Newcastle,.,true,.,.,.,.,,2,13,No,,,Yes,No
I consent,Female,African,20-29 years,R1000- R4999,2-3 times per month,Once per month (or less),4,50,5,Medium,KwaZulu-Natal,Pietermaritzburg,true,.,.,.,.,.,,10,3,Yes,,60,No,No
I consent,Male,I would prefer to not answer,30-39 years,R20 000- R24 999,Once per month (or less),Once per month (or less),11,400,4,High,Limpopo,Haenertsburg,.,.,.,.,.,true,,7,More than 30 days,No,,,I do not wish to disclose this information,No
I consent,Male,White,30-39 years,R10 000- R14 999,Everyday,Once per week,20,300,30,High,Limpopo,Lephalale(ellisras),.,true,.,.,.,.,,6,3,Yes,,60,Yes,No
I consent,Female,White,40-49 years,R10 000- R14 999,Everyday,Once per week,20,75,6,Medium,Limpopo,Polokwane,.,true,.,.,.,.,,8,4,No,,,Yes,No
I consent,Male,I would prefer to not answer,20-29 years,< R1000 (less than R1000),Everyday,2-3 times per week,2,50,5,Medium,Limpopo,Polokwane,true,.,.,.,.,.,,10,3,Yes,1,50,I do not wish to disclose this information,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per week,11,100,5,Medium,Limpopo,Phalaborwa,.,.,true,.,.,.,,8,2,Yes,12.5,30,I do not wish to disclose this information,No
I consent,Male,White,< 20 years (younger than 20 years),R5000-R9999,2-3 times per week,Once per week,1,300,5,Medium,Limpopo,Polokwane,true,.,.,.,.,.,,3,5,Yes,50,100,Yes,Yes
I consent,Male,African,< 20 years (younger than 20 years),R1000- R4999,2-3 times per week,2-3 times per week,2,20,5,Low,Limpopo,Makhado,.,.,.,true,.,.,,5,2,No,,,Yes,No
I consent,Female,White,< 20 years (younger than 20 years),< R1000 (less than R1000),Once per month (or less),Once per month (or less),2,300,6,Medium,Limpopo,Polokwane,.,true,.,.,.,.,,8,6,No,,,No,No
I consent,Male,White,30-39 years,R30 000 and above,Everyday,2-3 times per month,11,800,75,High,Limpopo,Mokopane,true,.,.,.,.,.,,6,14,Yes,10,16,No,No
I consent,Male,White,30-39 years,R15 000- R19 999,Everyday,Once per week,15,100,10,Medium,Limpopo,Levubu,.,.,.,true,.,.,,10,10,,,,No,No
I consent,Female,White,20-29 years,< R1000 (less than R1000),Everyday,Once per month (or less),9,400,50,Medium,Limpopo,Letsitele,.,.,.,true,.,.,,5,More than 30 days,No,,,No,No
I consent,Male,White,30-39 years,R5000-R9999,2-3 times per month,Once per month (or less),19,60,6.5,Low,Limpopo,Mokopane,.,.,.,true,.,.,,8,More than 30 days,No,,,No,No
I consent,Male,African,20-29 years,R20 000- R24 999,Everyday,Once per month (or less),1,200,100,Medium,Limpopo,Hazyview,.,.,.,true,.,.,,8,More than 30 days,No,,,No,No
I consent,Male,White,20-29 years,R10 000- R14 999,Once per week,2-3 times per month,3,350,80,Medium,Limpopo,Middleburg,.,true,.,.,.,.,,4,30,No,,,Yes,No
I consent,Male,African,< 20 years (younger than 20 years),R1000- R4999,2-3 times per week,Once per week,5,50,5,Medium,Limpopo,Polokwane,.,true,.,.,.,.,,10,3,Yes,5,45,No,No
I consent,Male,White,50 years and above,R10 000- R14 999,Everyday,2-3 times per month,20,2500,28,High,Limpopo,No,true,.,.,.,.,.,,10,14,Yes,52.666668,133.33333,No,No
I consent,Male,White,20-29 years,R15 000- R19 999,2-3 times per week,Once per week,7,3000,500,Medium,Limpopo,Polokwane,.,true,.,.,.,.,,8,20,No,,,Yes,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per month (or less),5,500,20,Medium,Mpumalanga,Middelburg,.,.,.,.,true,.,,8,22,Yes,12,80,No,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,5,300,8,Medium,Mpumalanga,Middelburg,.,true,.,.,.,.,,7,14,Yes,20,166.66667,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per week,7,60,10,Low,Mpumalanga,Haxyview,.,.,.,.,true,.,,2,4,No,,,No,No
I consent,Male,White,30-39 years,R15 000- R19 999,Everyday,2-3 times per month,15,600,550,Medium,Mpumalanga,Swaziland,.,.,.,true,.,.,,8,30,Yes,.5,8,No,No
I consent,Female,White,30-39 years,R10 000- R14 999,2-3 times per week,Once per month (or less),18,600,15,Medium,Mpumalanga,.,.,.,.,.,.,true,,6,25,,20,85,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per month (or less),7,1100,100,Medium,Mpumalanga,Middelburg,.,true,.,.,.,.,,6,25,No,,,Yes,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,2-3 times per month,11,600,80,Medium,Mpumalanga,Secunda,.,.,.,.,true,.,,7,14,No,,,No,No
I consent,Female,White,< 20 years (younger than 20 years),< R1000 (less than R1000),Everyday,2-3 times per month,5,50,100,Low,Mpumalanga,Secunda,.,.,.,.,.,true,,9,14,Yes,,29,No,No
I consent,Male,White,30-39 years,R10 000- R14 999,Everyday,2-3 times per month,10,2800,28,High,Mpumalanga,Emalahleni,.,.,.,.,true,.,,9,14,Yes,57.5,150,Yes,No
I consent,Male,African,< 20 years (younger than 20 years),R5000-R9999,Everyday,2-3 times per week,5,30,1,High,Mpumalanga,.,.,.,.,.,.,.,,10,6,Yes,10,150,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per month,5,150,10,Medium,Mpumalanga,.,.,.,.,true,.,.,,6,15,No,,,I do not wish to disclose this information,No
I consent,Female,White,20-29 years,R5000-R9999,Everyday,Once per month (or less),8,1200,100,Medium,Mpumalanga,Middelburg,.,true,.,.,.,.,,7,30,No,,,Yes,No
I consent,Male,African,20-29 years,R10 000- R14 999,Everyday,Once per month (or less),6,200,27.5,Medium,Mpumalanga,Evander,true,.,.,.,.,.,,10,30,Yes,5,25,Yes,No
I consent,Male,I would prefer to not answer,20-29 years,R1000- R4999,Everyday,Once per week,13,560,320,Medium,Mpumalanga,Pienaar SpyJozi,.,.,.,true,.,.,,8,14,Yes,,,No,No
I consent,Female,White,20-29 years,R5000-R9999,Everyday,Once per week,4,100,8,Medium,Mpumalanga,White River,.,true,.,.,.,.,,8,5,No,,,No,No
I consent,Male,White,30-39 years,R5000-R9999,Everyday,Once per week,19,300,30,Medium,Mpumalanga,Nelspruit,.,.,.,.,.,true,,10,7,No,,,No,No
I consent,Male,White,40-49 years,R30 000 and above,2-3 times per week,Once per week,17,30,20,Low,Mpumalanga,Witbank,true,.,.,.,.,.,,10,5,No,,,Yes,No
I consent,Male,I would prefer to not answer,20-29 years,R15 000- R19 999,Everyday,Once per week,13,1000,50,Medium,Mpumalanga,Nelspruit,.,true,.,.,.,.,,3,7,Yes,13.333333,30,Yes,No
I consent,Female,White,20-29 years,R1000- R4999,Once per week,Once per month (or less),2,50,3,Medium,Mpumalanga,Johannesburg,true,.,.,.,.,.,,9,30,Yes,10,80,Yes,I do not wish to disclose this information
I consent,Male,White,20-29 years,R30 000 and above,2-3 times per week,Once per month (or less),4,600,60,High,Mpumalanga,Secunda,.,.,.,.,true,.,,5,More than 30 days,Yes,7.25,21.5,No,No
I consent,Male,White,20-29 years,R20 000- R24 999,2-3 times per week,Once per month (or less),11,200,10,Low,Mpumalanga,Evander,.,true,.,.,.,.,,3,20,No,,,No,Yes
I consent,Male,White,30-39 years,R5000-R9999,Once per month (or less),Once per month (or less),7,250,8,High,Mpumalanga,Mpumalanga,.,true,.,.,.,.,,10,More than 30 days,Yes,25,65,Yes,No
I consent,Male,African,20-29 years,R5000-R9999,2-3 times per week,2-3 times per month,6,150,5,Medium,Mpumalanga,Nelspruit,.,.,.,.,true,.,,5,7,Yes,15.75,50,Yes,No
I consent,Male,White,< 20 years (younger than 20 years),< R1000 (less than R1000),Once per week,Once per month (or less),2,150,10,Medium,Mpumalanga,Nelspruit,true,.,.,.,.,.,,9,7,Yes,10,89,Yes,No
I consent,Female,White,20-29 years,R1000- R4999,Everyday,Once per week,1,400,150,Medium,Mpumalanga,Lydenburg,true,.,.,.,.,.,,3,30,No,,,No,Yes
I consent,Male,White,20-29 years,R15 000- R19 999,Everyday,Once per week,9,250,10,Medium,Mpumalanga,Nelspruit,.,true,.,.,.,.,,8,10,Yes,15,50,Yes,No
I consent,Female,White,50 years and above,R15 000- R19 999,2-3 times per month,Once per month (or less),19,200,10,Medium,Mpumalanga,Barberton,.,.,.,.,true,.,,2,More than 30 days,No,,,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,I do not wish to disclose this information,I do not wish to disclose this information,3,100,8,Medium,Mpumalanga,White river,.,.,.,.,true,.,,8,10,No,,,No,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,I do not wish to disclose this information,9,25,10,Low,Mpumalanga,Nelspruit,.,.,.,.,.,true,,8,2,No,,,I do not wish to disclose this information,No
I consent,Male,White,30-39 years,R30 000 and above,Everyday,Once per month (or less),15,1000,100,Medium,Mpumalanga,Nelspruit,.,.,.,true,.,.,,2,30,Yes,5,75,Yes,No
I consent,Female,White,20-29 years,R10 000- R14 999,Everyday,Once per month (or less),8,300,200,Medium,Mpumalanga,Nelspruit,true,.,.,.,.,.,,4,20,No,,,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per month (or less),7,1100,100,Medium,Mpumalanga,Middelburg,.,true,.,.,.,.,,6,30,No,,,Yes,No
I consent,Female,White,20-29 years,R5000-R9999,Everyday,Once per month (or less),7,1100,100,Medium,Mpumalanga,Middelburg,.,true,.,.,.,.,,5,30,No,,,Yes,No
I consent,Male,White,< 20 years (younger than 20 years),< R1000 (less than R1000),2-3 times per week,Once per week,2,150,2,High,Mpumalanga,White river,.,true,.,.,.,.,,10,1,No,,,No,No
I consent,Male,I would prefer to not answer,50 years and above,R15 000- R19 999,Everyday,Once per month (or less),20,10000,1000,High,Mpumalanga,Swaziland,.,.,.,true,.,.,,10,More than 30 days,Yes,5,60,No,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per week,5,100,5,Medium,Mpumalanga,Nelspruit,.,true,.,.,.,.,,10,7,No,,,No,No
I consent,Male,White,30-39 years,R20 000- R24 999,Everyday,Once per week,16,1000,37.5,Medium,Mpumalanga,Nelspruit region,.,.,.,.,true,.,,8,7,Yes,,,Yes,Yes
I consent,Male,Coloured,30-39 years,R10 000- R14 999,I do not wish to disclose this information,Once per month (or less),10,900,10,High,Mpumalanga,Secunda,.,.,.,.,.,true,,2,28,No,,,Yes,No
I consent,Male,White,20-29 years,R25 000- R29 999,Everyday,Once per week,7,250,10,High,Mpumalanga,Witbank,.,true,.,.,.,.,,6,7,Yes,17.5,50,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per week,1,100,10,Medium,Mpumalanga,.,.,.,.,.,.,true,,10,7,,,105,I do not wish to disclose this information,I do not wish to disclose this information
I consent,Male,Coloured,20-29 years,R1000- R4999,2-3 times per week,Once per week,8,100,20,Low,Mpumalanga,Nelspruit,.,true,.,.,.,.,,10,4,No,,,No,No
I consent,Female,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,5,100,30,Medium,Mpumalanga,Carolina,.,.,.,.,.,true,,8,14,No,,,Yes,No
I consent,Male,African,20-29 years,R1000- R4999,Everyday,2-3 times per week,3,220,34,Medium,North West,Potchefstroom,.,true,.,.,.,.,,7,4,Yes,,100,Yes,No
I consent,Male,White,30-39 years,R20 000- R24 999,Everyday,Once per month (or less),12,1000,500,High,North West,Rustenburg,true,.,.,.,.,.,,8,More than 30 days,Yes,1,10,No,Yes
I consent,Male,African,30-39 years,R30 000 and above,Everyday,Once per week,15,300,6,High,North West,Rustenburg,true,.,.,.,.,.,,10,7,Yes,30,75,Yes,No
I consent,Female,White,20-29 years,R10 000- R14 999,Everyday,Once per week,6,100,2,Medium,North West,Potchefstroom,.,true,.,.,.,.,,10,5,Yes,12,75,Yes,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per month,2,400,50,Medium,North West,Rustenburg,.,.,true,.,.,.,,9,13,Yes,,29.375,Yes,No
I consent,Male,White,20-29 years,R1000- R4999,2-3 times per week,2-3 times per month,6,200,6,High,North West,Potchefstroom,true,.,.,.,.,.,,8,14,Yes,10,87.5,Yes,No
I consent,Female,White,20-29 years,R1000- R4999,Everyday,Once per week,6,250,8,High,North West,Klerksdorp,true,.,.,.,.,.,,1,7,Yes,22.5,70,No,No
